Name,Surname
Arwel,
Alwen,
Bedwyr,
Angharad,
Bleddyn,
Arianwen,
Cadfael,
Celyn,
Celyn,
Ceris,
Ceri,
Dafina,
Cynan,
Dilys,
Dafydd,
Eilonwy,
Dilwyn,
Eirlys,
Efan,
Eirwen,
Eifion,
Eirys,
Eilir,
Elan,
Einion,
Eleri,
Elgan,
Ffionwen,
Emyrion,
Glesni,
Eryl,
Gwawr,
Eurig,
Gwendolynne,
Geraint,
Gwenllian,
Gethin,
Gwenn,
Gruff,
Gwenno,
Gruffydd,
Heledd,
Gwyn,
Heulwen,
Hywel,
Ifanwy,
Idwal,
Llinos,
Ifan,
Lowri,
Ifor,
Luned,
Iolo,
Mabli,
Llyr,
Mair,
Llywarch,
Mared,
Llywelyn,
Meinir,
Mabon,
Meradith,
Maelgwn,
Meri,
Meurig,
Morwen,
Myrddin,
Morwenna,
Peredur,
Myfanwy,
Prys,
Nest,
Rhidian,
Rhianwen,
Rhun,
Rhona,
Rhydderch,
Rhonwen,
Siôn,
Rhosyn,
Tegid,
Sioned,
Tomos,
Tegwen,
Urien,
